,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
9936,2019,1,False,11740590,368104.52173913043,44552.47826086957,38166.47826086957,30585.304347826088,48698.565217391304,55818.0,49635.565217391304,42248.391304347824,34376.391304347824,1125059,11740590,서울,강동구,암사3동
9937,2019,1,True,11740590,382203.125,39789.25,36210.125,33363.125,56119.25,63369.875,52635.375,42875.375,35668.75,1125059,11740590,서울,강동구,암사3동
9938,2019,2,False,11740590,350153.0909090909,41609.27272727273,34552.045454545456,29553.545454545456,47527.681818181816,53910.27272727273,46718.818181818184,39733.454545454544,32652.590909090908,1125059,11740590,서울,강동구,암사3동
9939,2019,2,True,11740590,362481.0,38582.25,33346.625,32106.125,52742.125,60986.375,50300.625,40219.0,32814.0,1125059,11740590,서울,강동구,암사3동
9940,2019,3,False,11740590,361610.7727272727,48639.59090909091,37692.63636363636,27154.227272727272,47607.954545454544,55974.545454545456,48376.27272727273,40358.681818181816,31977.863636363636,1125059,11740590,서울,강동구,암사3동
9941,2019,3,True,11740590,373142.6,41255.7,34633.6,31874.2,54317.2,63490.0,52015.5,40748.2,33117.8,1125059,11740590,서울,강동구,암사3동
9942,2019,4,False,11740590,359479.5909090909,47961.86363636364,37433.5,27097.31818181818,46385.045454545456,55629.5,47852.454545454544,40086.954545454544,33284.045454545456,1125059,11740590,서울,강동구,암사3동
9943,2019,4,True,11740590,370098.0,41911.875,34889.625,32113.75,52427.875,63563.125,51003.5,39556.625,32785.875,1125059,11740590,서울,강동구,암사3동
9944,2019,5,False,11740590,348725.95652173914,43041.34782608696,35204.217391304344,26759.08695652174,45226.782608695656,55182.913043478264,47057.13043478261,38787.565217391304,33583.30434782609,1125059,11740590,서울,강동구,암사3동
9945,2019,5,True,11740590,352670.875,37264.75,32402.625,30774.75,49728.75,59673.875,48914.0,39037.75,32623.25,1125059,11740590,서울,강동구,암사3동
9946,2019,6,False,11740590,351805.7,45189.7,36500.35,27906.25,45478.3,54696.2,46969.0,38841.2,32120.15,1125059,11740590,서울,강동구,암사3동
9947,2019,6,True,11740590,357600.4,38915.0,33651.7,31064.6,50409.6,61190.4,49202.0,38568.8,32839.4,1125059,11740590,서울,강동구,암사3동
9948,2019,7,False,11740590,343166.9130434783,41093.217391304344,35498.217391304344,27783.565217391304,45020.434782608696,53674.13043478261,45896.17391304348,37514.86956521739,31474.695652173912,1125059,11740590,서울,강동구,암사3동
9949,2019,7,True,11740590,354283.375,35715.25,32913.25,30953.625,51298.25,61529.125,49180.875,37928.625,31301.25,1125059,11740590,서울,강동구,암사3동
